bank_id,source_exam,original_number,status,reuse_ready,review_notes,domain,topic,task,task_label,approach,pattern,format,difficulty,stem,option_a,option_b,option_c,option_d,option_e,correct_index_zero_based,correct_letter,correct_answer_text,rationale,source_references,eco_reference,pmbok_reference,page_references,stimulus,case_id,raw_json
D1-092,Diagnostic 1,92,draft,,,people,Suppressed Velocity Conflict,P2,People Task 2 - Manage conflicts,hybrid,content,Case,Moderate-Hard,How should the project manager address the senior stakeholder's behavior and the team's technical disagreement?,"Escalate the stakeholder to human resources before discussing the defects, using the current summary and documenting the resulting decision path.","Ask the team to avoid disagreement until the release stabilizes, while documenting the assumptions and communicating the decision to affected stakeholders.","Let the product owner decide whether the technical concerns warrant action, while documenting the assumptions and communicating the decision to affected stakeholders.","Address the ground-rule violation and psychological safety problem directly, while using objective technical criteria to evaluate the defect concerns.",,3,D,"Address the ground-rule violation and psychological safety problem directly, while using objective technical criteria to evaluate the defect concerns.",The behavioral conflict and technical decision both need explicit treatment; neither should be allowed to distort the other.,PMI-PMP-2026-ECO | P2 People Task 2 - Manage conflicts | pp. 7-8,PMI-PMP-2026-ECO | P2 People Task 2 - Manage conflicts | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Suppressed Velocity Conflict"",""task"":""P2"",""a"":""hybrid"",""pattern"":""content"",""format"":""Case"",""difficulty"":""Moderate-Hard"",""q"":""How should the project manager address the senior stakeholder's behavior and the team's technical disagreement?"",""o"":[""Escalate the stakeholder to human resources before discussing the defects, using the current summary and documenting the resulting decision path."",""Ask the team to avoid disagreement until the release stabilizes, while documenting the assumptions and communicating the decision to affected stakeholders."",""Let the product owner decide whether the technical concerns warrant action, while documenting the assumptions and communicating the decision to affected stakeholders."",""Address the ground-rule violation and psychological safety problem directly, while using objective technical criteria to evaluate the defect concerns.""],""x"":3,""r"":""The behavioral conflict and technical decision both need explicit treatment; neither should be allowed to distort the other."",""rule"":""Use the appropriate conflict response: collaborate when time allows, decide within authority when time has run out, and escalate only when the decision exceeds the project manager role."",""taskLabel"":""People Task 2 - Manage conflicts"",""caseHtml"":""<h3>Case: The Suppressed Velocity Dilemma</h3><p>An agile software team has met its committed velocity metrics for five consecutive sprints. However, internal testing logs indicate that escaped regression errors have quietly risen by 35%. During private one-on-one sessions, three core developers state they observed the defects but deliberately withheld their concerns during grooming and retrospectives because a senior stakeholder openly reprimands the team whenever a user story slips out of a sprint lifecycle.</p><ul><li>Sprint Commitments: 100% complete for the last 60 days.</li><li>System Reality: Customer-facing error rates are degrading rapidly.</li><li>Team Dynamic: Retrospective documentation indicates zero blockers or process impediments are being logged.</li></ul>""}"
D1-093,Diagnostic 1,93,draft,,,people,Regulator Engagement,P4,People Task 4 - Engage stakeholders,predictive,mindset,Scenario,Moderate,A regulator has little interest in the project but can withhold the operating permit. The regulator requests evidence of one control before the next submission. What should the project manager do?,Provide targeted evidence tied to the permit decision and maintain focused engagement appropriate to the regulator's authority.,"Send the full project dashboard so the regulator has complete context, while documenting the assumptions and communicating the decision to affected stakeholders.","Monitor the regulator because the stakeholder's stated interest is low, while documenting the assumptions and communicating the decision to affected stakeholders.","Escalate the request to the sponsor before responding, using the current summary and documenting the resulting decision path.",,0,A,Provide targeted evidence tied to the permit decision and maintain focused engagement appropriate to the regulator's authority.,"High power and low interest calls for concise, decision-relevant engagement.",PMI-PMP-2026-ECO | P4 People Task 4 - Engage stakeholders | pp. 7-8,PMI-PMP-2026-ECO | P4 People Task 4 - Engage stakeholders | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Regulator Engagement"",""task"":""P4"",""a"":""predictive"",""pattern"":""mindset"",""format"":""Scenario"",""difficulty"":""Moderate"",""q"":""A regulator has little interest in the project but can withhold the operating permit. The regulator requests evidence of one control before the next submission. What should the project manager do?"",""o"":[""Provide targeted evidence tied to the permit decision and maintain focused engagement appropriate to the regulator's authority."",""Send the full project dashboard so the regulator has complete context, while documenting the assumptions and communicating the decision to affected stakeholders."",""Monitor the regulator because the stakeholder's stated interest is low, while documenting the assumptions and communicating the decision to affected stakeholders."",""Escalate the request to the sponsor before responding, using the current summary and documenting the resulting decision path.""],""x"":0,""r"":""High power and low interest calls for concise, decision-relevant engagement."",""rule"":""Engage stakeholders based on interest, power, influence, resistance, and impact."",""taskLabel"":""People Task 4 - Engage stakeholders""}"
D1-094,Diagnostic 1,94,draft,,,people,Architect Handoff,P7,People Task 7 - Help ensure knowledge transfer,adaptive,content,Scenario,Hard,"A solution architect leaves in two weeks. The repository is current, but only the architect can diagnose intermittent integration failures. What should the project manager do first?","Ask the architect to expand the architecture documents, while documenting the assumptions and communicating the decision to affected stakeholders.","Identify the critical diagnostic decisions and arrange demonstrations, recordings, and supervised practice with designated successors.","Request a replacement before beginning knowledge transfer, while documenting the assumptions and communicating the decision to affected stakeholders.","Record the departure as a risk and extend support coverage, while documenting the assumptions and communicating the decision to affected stakeholders.",,1,B,"Identify the critical diagnostic decisions and arrange demonstrations, recordings, and supervised practice with designated successors.","Tacit diagnostic judgment requires active practice, not documents or staffing assumptions.",PMI-PMP-2026-ECO | P7 People Task 7 - Help ensure knowledge transfer | pp. 7-8,PMI-PMP-2026-ECO | P7 People Task 7 - Help ensure knowledge transfer | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Architect Handoff"",""task"":""P7"",""a"":""adaptive"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Hard"",""q"":""A solution architect leaves in two weeks. The repository is current, but only the architect can diagnose intermittent integration failures. What should the project manager do first?"",""o"":[""Ask the architect to expand the architecture documents, while documenting the assumptions and communicating the decision to affected stakeholders."",""Identify the critical diagnostic decisions and arrange demonstrations, recordings, and supervised practice with designated successors."",""Request a replacement before beginning knowledge transfer, while documenting the assumptions and communicating the decision to affected stakeholders."",""Record the departure as a risk and extend support coverage, while documenting the assumptions and communicating the decision to affected stakeholders.""],""x"":1,""r"":""Tacit diagnostic judgment requires active practice, not documents or staffing assumptions."",""rule"":""Knowledge transfer must move usable know-how, not just documents."",""taskLabel"":""People Task 7 - Help ensure knowledge transfer""}"
D1-095,Diagnostic 1,95,draft,,,people,Outcome Alignment,P1,People Task 1 - Develop a common vision,predictive,content,Scenario,Moderate,"Product, operations, and compliance each describe a different primary outcome for the same release. The team is choosing work based on whichever representative attends refinement. What should the project manager do first?","Ask the sponsor to select the primary outcome, using the current summary and documenting the resulting decision path.","Allow each function to prioritize its own workstream, while monitoring the exposure and updating the relevant project records.",Facilitate a common outcome statement and measurable decision criteria with the key stakeholders before more work is prioritized.,"Use the business case's first listed benefit as the default priority, then monitor the outcome through the next reporting cycle.",,2,C,Facilitate a common outcome statement and measurable decision criteria with the key stakeholders before more work is prioritized.,A common vision must guide local choices before work continues.,PMI-PMP-2026-ECO | P1 People Task 1 - Develop a common vision | pp. 7-8,PMI-PMP-2026-ECO | P1 People Task 1 - Develop a common vision | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Outcome Alignment"",""task"":""P1"",""a"":""predictive"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Moderate"",""q"":""Product, operations, and compliance each describe a different primary outcome for the same release. The team is choosing work based on whichever representative attends refinement. What should the project manager do first?"",""o"":[""Ask the sponsor to select the primary outcome, using the current summary and documenting the resulting decision path."",""Allow each function to prioritize its own workstream, while monitoring the exposure and updating the relevant project records."",""Facilitate a common outcome statement and measurable decision criteria with the key stakeholders before more work is prioritized."",""Use the business case's first listed benefit as the default priority, then monitor the outcome through the next reporting cycle.""],""x"":2,""r"":""A common vision must guide local choices before work continues."",""rule"":""Create shared understanding before optimizing local choices."",""taskLabel"":""People Task 1 - Develop a common vision""}"
D1-096,Diagnostic 1,96,draft,,,people,Safety-Critical Team,P3,People Task 3 - Lead the project team,predictive,content,Scenario,Moderate-Hard,A newly formed team will begin safety-critical commissioning. Several members have not demonstrated competence in the control procedure but request full autonomy. What should the project manager do?,"Allow self-organization and monitor the first commissioning cycle, while monitoring the exposure and updating the relevant project records.","Assign one experienced mentor and retain the existing autonomy model, then monitor the outcome through the next reporting cycle.","Ask the sponsor to accept the competence risk, using the current summary and documenting the resulting decision path.","Provide directive guidance and mandatory review gates, then increase delegation as competence is demonstrated.",,3,D,"Provide directive guidance and mandatory review gates, then increase delegation as competence is demonstrated.",Leadership style should match competence and exposure; safety-critical work requires closer direction initially.,PMI-PMP-2026-ECO | P3 People Task 3 - Lead the project team | pp. 7-8,PMI-PMP-2026-ECO | P3 People Task 3 - Lead the project team | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Safety-Critical Team"",""task"":""P3"",""a"":""predictive"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""q"":""A newly formed team will begin safety-critical commissioning. Several members have not demonstrated competence in the control procedure but request full autonomy. What should the project manager do?"",""o"":[""Allow self-organization and monitor the first commissioning cycle, while monitoring the exposure and updating the relevant project records."",""Assign one experienced mentor and retain the existing autonomy model, then monitor the outcome through the next reporting cycle."",""Ask the sponsor to accept the competence risk, using the current summary and documenting the resulting decision path."",""Provide directive guidance and mandatory review gates, then increase delegation as competence is demonstrated.""],""x"":3,""r"":""Leadership style should match competence and exposure; safety-critical work requires closer direction initially."",""rule"":""Lead the people before managing the work: support, empower, coach, clarify, and build capability."",""taskLabel"":""People Task 3 - Lead the project team""}"
D1-097,Diagnostic 1,97,draft,,,people,Benefit Expectations,P5,People Task 5 - Align stakeholder expectations,hybrid,content,Scenario,Moderate-Hard,"The benefit owner expects a 20% reduction in handling time, but the product owner has optimized the backlog for customer satisfaction. Both measures appear in approved documents, and the team is about to commit the next release. What should the project manager do first?",Bring the benefit owner and product owner together to reconcile the measures and establish which outcomes govern release prioritization.,"Prioritize customer satisfaction because the product owner owns the backlog, while documenting the assumptions and communicating the decision to affected stakeholders.","Prioritize handling-time reduction because the benefit owner is accountable for realization, while documenting the assumptions and communicating the decision to affected stakeholders.","Split the next release evenly between features supporting each measure, then monitor the outcome through the next reporting cycle.",,0,A,Bring the benefit owner and product owner together to reconcile the measures and establish which outcomes govern release prioritization.,The team needs a shared outcome hierarchy before committing work; choosing a winner or dividing capacity is premature.,PMI-PMP-2026-ECO | P5 People Task 5 - Align stakeholder expectations | pp. 7-8,PMI-PMP-2026-ECO | P5 People Task 5 - Align stakeholder expectations | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Benefit Expectations"",""task"":""P5"",""a"":""hybrid"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""q"":""The benefit owner expects a 20% reduction in handling time, but the product owner has optimized the backlog for customer satisfaction. Both measures appear in approved documents, and the team is about to commit the next release. What should the project manager do first?"",""o"":[""Bring the benefit owner and product owner together to reconcile the measures and establish which outcomes govern release prioritization."",""Prioritize customer satisfaction because the product owner owns the backlog, while documenting the assumptions and communicating the decision to affected stakeholders."",""Prioritize handling-time reduction because the benefit owner is accountable for realization, while documenting the assumptions and communicating the decision to affected stakeholders."",""Split the next release evenly between features supporting each measure, then monitor the outcome through the next reporting cycle.""],""x"":0,""r"":""The team needs a shared outcome hierarchy before committing work; choosing a winner or dividing capacity is premature."",""rule"":""Align stakeholder expectations and decision rules before committing work."",""taskLabel"":""People Task 5 - Align stakeholder expectations""}"
D1-098,Diagnostic 1,98,draft,,,people,Distributed Risk Communication,P8,People Task 8 - Plan and manage communication,adaptive,mindset,Scenario,Moderate,"A global team interprets the same risk response differently across three regions. The written plan is current, but local leads are implementing conflicting actions. What should the project manager do first?","Send the plan again with the relevant paragraphs highlighted, while documenting the assumptions and communicating the decision to affected stakeholders.","Hold an interactive alignment session to confirm the response, ownership, triggers, and regional implications, then update the communication approach.","Ask the risk owner to issue a directive to all regions, while documenting the assumptions and communicating the decision to affected stakeholders.","Allow each region to adapt the response until the next risk review, while monitoring the exposure and updating the relevant project records.",,1,B,"Hold an interactive alignment session to confirm the response, ownership, triggers, and regional implications, then update the communication approach.","Conflicting interpretation requires two-way communication and confirmation, not another one-way distribution.",PMI-PMP-2026-ECO | P8 People Task 8 - Plan and manage communication | pp. 7-8,PMI-PMP-2026-ECO | P8 People Task 8 - Plan and manage communication | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Distributed Risk Communication"",""task"":""P8"",""a"":""adaptive"",""pattern"":""mindset"",""format"":""Scenario"",""difficulty"":""Moderate"",""q"":""A global team interprets the same risk response differently across three regions. The written plan is current, but local leads are implementing conflicting actions. What should the project manager do first?"",""o"":[""Send the plan again with the relevant paragraphs highlighted, while documenting the assumptions and communicating the decision to affected stakeholders."",""Hold an interactive alignment session to confirm the response, ownership, triggers, and regional implications, then update the communication approach."",""Ask the risk owner to issue a directive to all regions, while documenting the assumptions and communicating the decision to affected stakeholders."",""Allow each region to adapt the response until the next risk review, while monitoring the exposure and updating the relevant project records.""],""x"":1,""r"":""Conflicting interpretation requires two-way communication and confirmation, not another one-way distribution."",""rule"":""Communication is effective only when it supports the receiver\\u2019s decision need."",""taskLabel"":""People Task 8 - Plan and manage communication""}"
D1-099,Diagnostic 1,99,draft,,,people,Shared Resource Conflict,P2,People Task 2 - Manage conflicts,adaptive,content,Scenario,Hard,"Two workstream leads are arguing over the same specialist. Each has a critical milestone, and the resource plan does not define priority. The functional manager asks the project manager to recommend a solution. What should the project manager do first?","Give the specialist to the workstream with the earliest milestone, while documenting the assumptions and communicating the decision to affected stakeholders.","Split the specialist evenly between both workstreams, then monitor the outcome through the next reporting cycle.","Use milestone impact and value criteria to develop allocation options, then involve the functional manager in the decision within established authority.","Escalate immediately to the sponsor because the resource plan is incomplete, using the current summary and documenting the resulting decision path.",,2,C,"Use milestone impact and value criteria to develop allocation options, then involve the functional manager in the decision within established authority.",The conflict should be reframed around objective impacts and the proper decision authority.,PMI-PMP-2026-ECO | P2 People Task 2 - Manage conflicts | pp. 7-8,PMI-PMP-2026-ECO | P2 People Task 2 - Manage conflicts | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Shared Resource Conflict"",""task"":""P2"",""a"":""adaptive"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Hard"",""q"":""Two workstream leads are arguing over the same specialist. Each has a critical milestone, and the resource plan does not define priority. The functional manager asks the project manager to recommend a solution. What should the project manager do first?"",""o"":[""Give the specialist to the workstream with the earliest milestone, while documenting the assumptions and communicating the decision to affected stakeholders."",""Split the specialist evenly between both workstreams, then monitor the outcome through the next reporting cycle."",""Use milestone impact and value criteria to develop allocation options, then involve the functional manager in the decision within established authority."",""Escalate immediately to the sponsor because the resource plan is incomplete, using the current summary and documenting the resulting decision path.""],""x"":2,""r"":""The conflict should be reframed around objective impacts and the proper decision authority."",""rule"":""Use the appropriate conflict response: collaborate when time allows, decide within authority when time has run out, and escalate only when the decision exceeds the project manager role."",""taskLabel"":""People Task 2 - Manage conflicts""}"
D1-100,Diagnostic 1,100,draft,,,people,Operations Resistance,P4,People Task 4 - Engage stakeholders,predictive,content,Scenario,Moderate,An operations director is resisting a new platform and says the project team has underestimated support effort. The director has high influence and has begun lobbying leadership. What should the project manager do first?,"Ask the sponsor to instruct the director to support the approved project, using the current summary and documenting the resulting decision path.","Increase the frequency of status reports to operations, while documenting the assumptions and communicating the decision to affected stakeholders.","Proceed with deployment and treat resistance as an adoption risk, while monitoring the exposure and updating the relevant project records.","Meet with the director to understand the support assumptions and evidence, then adjust the engagement and readiness plan based on the findings.",,3,D,"Meet with the director to understand the support assumptions and evidence, then adjust the engagement and readiness plan based on the findings.",Resistance from an influential stakeholder is data that should be understood before escalation or execution.,PMI-PMP-2026-ECO | P4 People Task 4 - Engage stakeholders | pp. 7-8,PMI-PMP-2026-ECO | P4 People Task 4 - Engage stakeholders | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Operations Resistance"",""task"":""P4"",""a"":""predictive"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Moderate"",""q"":""An operations director is resisting a new platform and says the project team has underestimated support effort. The director has high influence and has begun lobbying leadership. What should the project manager do first?"",""o"":[""Ask the sponsor to instruct the director to support the approved project, using the current summary and documenting the resulting decision path."",""Increase the frequency of status reports to operations, while documenting the assumptions and communicating the decision to affected stakeholders."",""Proceed with deployment and treat resistance as an adoption risk, while monitoring the exposure and updating the relevant project records."",""Meet with the director to understand the support assumptions and evidence, then adjust the engagement and readiness plan based on the findings.""],""x"":3,""r"":""Resistance from an influential stakeholder is data that should be understood before escalation or execution."",""rule"":""Engage stakeholders based on interest, power, influence, resistance, and impact."",""taskLabel"":""People Task 4 - Engage stakeholders""}"
D1-101,Diagnostic 1,101,draft,,,people,Vendor Transition,P7,People Task 7 - Help ensure knowledge transfer,predictive,content,Scenario,Moderate-Hard,A vendor is completing a data-conversion tool. Internal staff can operate it but cannot recover failed batches. Contract closure is in ten days. What should the project manager do?,Require a guided recovery exercise in which internal staff diagnose and restore failed batches before acceptance and closure.,"Accept the tool and purchase extended vendor support, then update the affected plans and communicate the rationale to stakeholders.","Request a written troubleshooting guide and close the contract, while documenting the assumptions and communicating the decision to affected stakeholders.","Record recovery limitations in lessons learned, while documenting the assumptions and communicating the decision to affected stakeholders.",,0,A,Require a guided recovery exercise in which internal staff diagnose and restore failed batches before acceptance and closure.,Usable transfer must be demonstrated under realistic conditions before closure.,PMI-PMP-2026-ECO | P7 People Task 7 - Help ensure knowledge transfer | pp. 7-8,PMI-PMP-2026-ECO | P7 People Task 7 - Help ensure knowledge transfer | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Vendor Transition"",""task"":""P7"",""a"":""predictive"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""q"":""A vendor is completing a data-conversion tool. Internal staff can operate it but cannot recover failed batches. Contract closure is in ten days. What should the project manager do?"",""o"":[""Require a guided recovery exercise in which internal staff diagnose and restore failed batches before acceptance and closure."",""Accept the tool and purchase extended vendor support, then update the affected plans and communicate the rationale to stakeholders."",""Request a written troubleshooting guide and close the contract, while documenting the assumptions and communicating the decision to affected stakeholders."",""Record recovery limitations in lessons learned, while documenting the assumptions and communicating the decision to affected stakeholders.""],""x"":0,""r"":""Usable transfer must be demonstrated under realistic conditions before closure."",""rule"":""Knowledge transfer must move usable know-how, not just documents."",""taskLabel"":""People Task 7 - Help ensure knowledge transfer""}"
D1-102,Diagnostic 1,102,draft,,,people,Release Goal Drift,P1,People Task 1 - Develop a common vision,hybrid,content,Scenario,Moderate-Hard,"An agile team delivers high-value items for individual departments, but completed work does not advance the release goal. The product owner says every item has a valid stakeholder. What should the project manager do first?","Ask departments to rank their own requests more carefully, while documenting the assumptions and communicating the decision to affected stakeholders.",Reset the shared release goal and require backlog decisions to show how each item advances that outcome.,"Escalate the product owner's prioritization to the sponsor, using the current summary and documenting the resulting decision path.","Reserve part of every sprint for release-goal work, while documenting the assumptions and communicating the decision to affected stakeholders.",,1,B,Reset the shared release goal and require backlog decisions to show how each item advances that outcome.,"The issue is shared purpose and prioritization criteria, not the legitimacy of individual requests.",PMI-PMP-2026-ECO | P1 People Task 1 - Develop a common vision | pp. 7-8,PMI-PMP-2026-ECO | P1 People Task 1 - Develop a common vision | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Release Goal Drift"",""task"":""P1"",""a"":""hybrid"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""q"":""An agile team delivers high-value items for individual departments, but completed work does not advance the release goal. The product owner says every item has a valid stakeholder. What should the project manager do first?"",""o"":[""Ask departments to rank their own requests more carefully, while documenting the assumptions and communicating the decision to affected stakeholders."",""Reset the shared release goal and require backlog decisions to show how each item advances that outcome."",""Escalate the product owner's prioritization to the sponsor, using the current summary and documenting the resulting decision path."",""Reserve part of every sprint for release-goal work, while documenting the assumptions and communicating the decision to affected stakeholders.""],""x"":1,""r"":""The issue is shared purpose and prioritization criteria, not the legitimacy of individual requests."",""rule"":""Create shared understanding before optimizing local choices."",""taskLabel"":""People Task 1 - Develop a common vision""}"
D1-103,Diagnostic 1,103,draft,,,people,Mature Team Autonomy,P3,People Task 3 - Lead the project team,adaptive,mindset,Scenario,Moderate,"A mature team has delivered reliably for six months, but a new manager requires approval for every task-level decision. Improvement ideas have stopped and cycle time is increasing. What should the project manager do first?","Escalate the manager's behavior to the sponsor, using the current summary and documenting the resulting decision path.","Ask the team to continue complying until performance declines further, while documenting the assumptions and communicating the decision to affected stakeholders.",Clarify decision boundaries with the manager and restore appropriate team autonomy while maintaining required controls.,"Add more detailed procedures so fewer approvals are required, then monitor the outcome through the next reporting cycle.",,2,C,Clarify decision boundaries with the manager and restore appropriate team autonomy while maintaining required controls.,"A capable team needs empowerment within clear boundaries, not task-level control.",PMI-PMP-2026-ECO | P3 People Task 3 - Lead the project team | pp. 7-8,PMI-PMP-2026-ECO | P3 People Task 3 - Lead the project team | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Mature Team Autonomy"",""task"":""P3"",""a"":""adaptive"",""pattern"":""mindset"",""format"":""Scenario"",""difficulty"":""Moderate"",""q"":""A mature team has delivered reliably for six months, but a new manager requires approval for every task-level decision. Improvement ideas have stopped and cycle time is increasing. What should the project manager do first?"",""o"":[""Escalate the manager's behavior to the sponsor, using the current summary and documenting the resulting decision path."",""Ask the team to continue complying until performance declines further, while documenting the assumptions and communicating the decision to affected stakeholders."",""Clarify decision boundaries with the manager and restore appropriate team autonomy while maintaining required controls."",""Add more detailed procedures so fewer approvals are required, then monitor the outcome through the next reporting cycle.""],""x"":2,""r"":""A capable team needs empowerment within clear boundaries, not task-level control."",""rule"":""Lead the people before managing the work: support, empower, coach, clarify, and build capability."",""taskLabel"":""People Task 3 - Lead the project team""}"
D1-104,Diagnostic 1,104,draft,,,people,Regional Rollout Expectations,P5,People Task 5 - Align stakeholder expectations,adaptive,content,Scenario,Hard,Two regional sponsors support the same rollout. One defines success as rapid deployment to all sites; the other defines success as proven adoption at a smaller pilot. Funding supports only one approach this quarter. What should the project manager do first?,"Choose the pilot because adoption evidence reduces risk, while documenting the assumptions and communicating the decision to affected stakeholders.","Choose broad deployment because it maximizes near-term reach, while documenting the assumptions and communicating the decision to affected stakeholders.",Ask the delivery team to estimate both approaches and proceed with the lower-cost option.,"Expose the incompatible expectations, agree on evaluation criteria, and route the unresolved funding tradeoff to the authorized decision body.",,3,D,"Expose the incompatible expectations, agree on evaluation criteria, and route the unresolved funding tradeoff to the authorized decision body.","The project manager should make the conflict and decision criteria explicit, then use governance for the funding tradeoff.",PMI-PMP-2026-ECO | P5 People Task 5 - Align stakeholder expectations | pp. 7-8,PMI-PMP-2026-ECO | P5 People Task 5 - Align stakeholder expectations | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Regional Rollout Expectations"",""task"":""P5"",""a"":""adaptive"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Hard"",""q"":""Two regional sponsors support the same rollout. One defines success as rapid deployment to all sites; the other defines success as proven adoption at a smaller pilot. Funding supports only one approach this quarter. What should the project manager do first?"",""o"":[""Choose the pilot because adoption evidence reduces risk, while documenting the assumptions and communicating the decision to affected stakeholders."",""Choose broad deployment because it maximizes near-term reach, while documenting the assumptions and communicating the decision to affected stakeholders."",""Ask the delivery team to estimate both approaches and proceed with the lower-cost option."",""Expose the incompatible expectations, agree on evaluation criteria, and route the unresolved funding tradeoff to the authorized decision body.""],""x"":3,""r"":""The project manager should make the conflict and decision criteria explicit, then use governance for the funding tradeoff."",""rule"":""Align stakeholder expectations and decision rules before committing work."",""taskLabel"":""People Task 5 - Align stakeholder expectations""}"
D1-105,Diagnostic 1,105,draft,,,people,Executive Briefing,P8,People Task 8 - Plan and manage communication,hybrid,content,Scenario,Moderate,The PMO requires a detailed monthly template. A benefit owner says the template is accurate but does not show which benefit is threatened or what decision is needed. The PMO will not approve an exception. What should the project manager do?,Continue the required template and provide a concise supplemental decision brief using the same validated data.,"Replace the PMO template with the benefit owner's preferred format, while documenting the assumptions and communicating the decision to affected stakeholders.",Ask the benefit owner to interpret the PMO report during the status meeting.,"Escalate the template requirement before issuing the next report, using the current summary and documenting the resulting decision path.",,0,A,Continue the required template and provide a concise supplemental decision brief using the same validated data.,Required reporting and tailored stakeholder communication can coexist.,PMI-PMP-2026-ECO | P8 People Task 8 - Plan and manage communication | pp. 7-8,PMI-PMP-2026-ECO | P8 People Task 8 - Plan and manage communication | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Executive Briefing"",""task"":""P8"",""a"":""hybrid"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Moderate"",""q"":""The PMO requires a detailed monthly template. A benefit owner says the template is accurate but does not show which benefit is threatened or what decision is needed. The PMO will not approve an exception. What should the project manager do?"",""o"":[""Continue the required template and provide a concise supplemental decision brief using the same validated data."",""Replace the PMO template with the benefit owner's preferred format, while documenting the assumptions and communicating the decision to affected stakeholders."",""Ask the benefit owner to interpret the PMO report during the status meeting."",""Escalate the template requirement before issuing the next report, using the current summary and documenting the resulting decision path.""],""x"":0,""r"":""Required reporting and tailored stakeholder communication can coexist."",""rule"":""Communication is effective only when it supports the receiver\\u2019s decision need."",""taskLabel"":""People Task 8 - Plan and manage communication""}"
D1-106,Diagnostic 1,106,draft,,,people,Retrospective Conduct,P2,People Task 2 - Manage conflicts,predictive,content,Scenario,Moderate-Hard,"During a retrospective, a senior engineer dismisses a tester's concern as uninformed. The tester withdraws the issue, and other team members stop contributing. What should the project manager do first?","Move the concern to a private meeting with the tester, then monitor the outcome through the next reporting cycle.","Intervene to restore the ground rules, address the disrespectful behavior, and create a safe path to examine the technical concern.","Ask the senior engineer to decide whether the concern merits analysis, while documenting the assumptions and communicating the decision to affected stakeholders.","End the retrospective and report the behavior to human resources, while documenting the assumptions and communicating the decision to affected stakeholders.",,1,B,"Intervene to restore the ground rules, address the disrespectful behavior, and create a safe path to examine the technical concern.",The project manager must protect constructive conflict and psychological safety in the moment.,PMI-PMP-2026-ECO | P2 People Task 2 - Manage conflicts | pp. 7-8,PMI-PMP-2026-ECO | P2 People Task 2 - Manage conflicts | pp. 7-8,,pp. 7-8,,,"{""d"":""people"",""t"":""Retrospective Conduct"",""task"":""P2"",""a"":""predictive"",""pattern"":""content"",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""q"":""During a retrospective, a senior engineer dismisses a tester's concern as uninformed. The tester withdraws the issue, and other team members stop contributing. What should the project manager do first?"",""o"":[""Move the concern to a private meeting with the tester, then monitor the outcome through the next reporting cycle."",""Intervene to restore the ground rules, address the disrespectful behavior, and create a safe path to examine the technical concern."",""Ask the senior engineer to decide whether the concern merits analysis, while documenting the assumptions and communicating the decision to affected stakeholders."",""End the retrospective and report the behavior to human resources, while documenting the assumptions and communicating the decision to affected stakeholders.""],""x"":1,""r"":""The project manager must protect constructive conflict and psychological safety in the moment."",""rule"":""Use the appropriate conflict response: collaborate when time allows, decide within authority when time has run out, and escalate only when the decision exceeds the project manager role."",""taskLabel"":""People Task 2 - Manage conflicts""}"
